Wall time,Step,Value,type
1581707165,0,0.618929029,train
1581707165,1,0.628269017,train
1581707165,2,0.628269017,train
1581707165,3,0.632627666,train
1581707165,4,0.642590284,train
1581707165,5,0.654420912,train
1581707166,6,0.686176836,train
1581707166,7,0.693648815,train
1581707166,8,0.709838092,train
1581707166,9,0.72415942,train
1581707166,10,0.742839336,train
1581707166,11,0.755915344,train
1581707166,12,0.768368602,train
1581707166,13,0.785180569,train
1581707166,14,0.798256516,train
1581707167,15,0.817559183,train
1581707167,16,0.841220438,train
1581707167,17,0.848069727,train
1581707167,18,0.854919076,train
1581707167,19,0.864881694,train
