Wall time,Step,Value
1581707164.895378,0,1.4871782064437866
1581707165.007149,1,1.19398832321167
1581707165.116055,2,1.0925360918045044
1581707165.219762,3,1.0115231275558472
1581707165.333215,4,0.9647013545036316
1581707165.44665,5,0.9353128671646118
1581707165.568333,6,0.8987503051757812
1581707165.668035,7,0.8661562204360962
1581707165.765863,8,0.8278393149375916
1581707165.869589,9,0.782972514629364
1581707165.985226,10,0.7313107848167419
1581707166.100769,11,0.6915223598480225
1581707166.208703,12,0.6556180119514465
1581707166.310844,13,0.6168567538261414
1581707166.415468,14,0.581597626209259
1581707166.518523,15,0.5500589609146118
1581707166.623552,16,0.5114521980285645
1581707166.734758,17,0.4856952428817749
1581707166.850183,18,0.45778536796569824
1581707166.959015,19,0.4315924346446991
