"1. ABOUT OUR PRODUCTS 1.1 Our products offer a diverse, current, and exciting mix of games created by 6677g, as well as games created by independent developers and 6677g partners. Players can access our products to play games without registering; however, they may choose to register to create a public or semi-public profile and to save games, high scores, and comments on this profile. Also, visitors to our products will be able to rate games and browse for the newly added, top-rated, and most-popular games.",0
"2. THE INFORMATION WE COLLECT The information that our products collect includes (among others) the following: A) IP ADDRESS, COOKIES, AND WEB BEACONS 2.1 When you visit our products, our servers automatically save your computer's IP address. IP addresses will be collected, along with information about the actual web pages that you visit on our products. If you arrive at our products via a link from another product, the URL of the linking product and the URL of any product that you link to next will also be collected.",1
"2.2 In addition, we store certain information from your browser, using ""cookies."" A cookie is a piece of data stored on the user's computer and is tied to information about the user. 6677g may use cookies, web beacons (web bugs), or similar technologies to enhance and personalize your experience on our products, including the following: (a) to operate and improve offerings on our products; (b) to help authenticate you when you are on our products;",2
"(c) to remember your preferences and registration information, as applicable;",0
"(d) to present and help measure and research the effectiveness of 6677g offerings, advertisements, and email communications; and",0
(e) to customize the content and advertisements provided to you through our products.,0
"2.3 6677g may also use ad network providers to help present advertisements on our products. These ad network providers use cookies, web beacons, or similar technologies to help the presenting, better targeting, and measuring of the effectiveness of their advertisements, using data gathered over time and across their networks of web pages to determine or predict the characteristics and preferences of their audiences. 6677g offers some services in connection with other products. Personal information that you provide to those sites may be sent to 6677g in order to deliver these services. 6677g processes such information in accordance with this Privacy Policy.",2
"2.4 6677g may also use third-party payment service providers (""PSP""), offering payment transaction services to 6677g in order to sell a product or service through our products. Whenever you buy something from our products (e.g., a virtual game item or a subscription for a game download), the information that you provide to the PSP is subject to their privacy policies, not ours. You explicitly consent that 6677g may provide personal information collected from you to a PSP for the purpose of the offering of the payment-transaction service whenever you buy something from the Website(s) and that such PSP may use such data for (statistical) analysis of payment transactions. 6677g shall be allowed to notify a PSP regarding a user that engages in (or who a party believes has engaged in) any activity that is illegal, that violates any person's rights, or that led to such user's suspension or termination of use of our products.",4
"2.5 6677g may share demographic information (certain anonymous information about you as a user, such as age and country) with certain ad network providers to help them deliver more relevant advertisements through their ad networks. The use of cookies, web beacons, or similar technologies by such third parties as ad network providers is subject to their own privacy policies, not this Privacy Policy.",3
"2.6 Most browsers are initially set to accept cookies, but you can (re)set your browser to refuse all cookies or to indicate when a cookie is being sent. You can opt out of receiving cookies from certain third-party advertising networks by resetting your browser. You may also use the following link to the Network Advertising Initiatives cookie opt-out page, which can be found here. However, some features and services may not function properly if cookies are disabled.",0
"B) PERSONAL DATA, INCLUDING YOUR E-MAIL ADDRESS 2.7 You may choose to register with us for a better game experience and/or to create a public or semi-public profile for participating in our social gaming network. This includes, for example: overviews of high scores, achievements listings, and individual game recommendations on our products. When you register with us, you provide us with certain personal information, such as a username, date and month of birth, and your email address. The information you disclose in that respect may also become publicly accessible. We provide you with privacy settings that restrict other users from accessing your information; namely, our network architecture and your privacy settings allow you to make informed choices about who has access to your information. We allow you to choose the information you provide to friends and networks through our products. When your privacy settings permit it, other users may be able to see and supplement your profile (e.g., by posting comments).",2
"2.8 If you decide to disclose information in a public venue or in games, we will consider that information as part of the public domain. This information will be accessible to any person who uses our products.",4
"2.9 We only collect email addresses that were provided to us directly by you. Your email address will only be used for the following purposes: (i) the promotion of (new) games; (ii) service emails (on updates, new design, new features, etc.);",2
"(iii) administrative purposes, such as notification of violation of our Terms of Use;",0
"(iv) delivering messages you have allowed us to pass on (e.g., from other people in your social network).",0
"2.10 Without your approval, we will not: (a) make your email address visible on our products; (b) use your email address for purposes other than those described in article 2.9 hereof;",0
"(c) transfer your email address or other personal information to third parties, except in those limited cases as described in this Privacy Policy.",4
"C) COMBINATION OF PERSONAL DATA 2.11 For optimizing our services and our products, and for the purposes mentioned in this article 2, we are entitled to combine your personal data (including your email address, as applicable) with other information about you collected by or provided to us.",0
"3. TO WHOM DOES 6677G PROVIDE THIS INFORMATION? 3.1 6677g may provide information to any party whose services it engages for the purposes of its normal operations (for example, those partners who assist us by providing technical or operational facilities for our products and so forth). We may also supply information to other parties if we are required to do so by law or by a ruling handed down by a court of law. 6677g does not provide personal details to other parties for commercial, advertising, or marketing purposes, except if you explicitly give us permission to do so, or if doing so is part of a specific program or operation for which you have registered. In such case, you may withdraw your permission at any time.",4
"4. WHY DO WE COLLECT INFORMATION? 4.1 We use personal details and other information to maintain the general and personified content and functionality of our products. In addition, we use personal details to make it possible to accommodate your requests, and so that we are able to provide you with service when using (one of) our products and for the purposes set out elsewhere in this Privacy Policy.",2
5. ACCESS TO THE INFORMATION WE HAVE COLLECTED ABOUT YOU,0
5.1 Your personal data will be stored by 6677g.,0
"5.2 Users with a personal profile on our products may review, update, or delete personal data collected by us by clicking on the appropriate link in the personal profile.",0
"5.3 In general, if you wish to have access to your personal data to correct or delete the information that we have collected about you, please send a written request to Tiny Piece, Ajeltake Road, Ajeltake Island, Majuro, Republic of the Marshall Island MH 96960, detailing your request and the data you have provided to us along with a copy of your passport (to prevent misuse of requests for information), or send an email with all such information to [email protected]",5
"5.4 Parents of users under the age of 16: If you wish to have access to your child's personal data to view, correct, or delete the information that we have collected about your child, please send a written request to Tiny Piece, Ajeltake Road, Ajeltake Island, Majuro, Republic of the Marshall Island MH 96960, detailing your request along with a copy of your passport (to prevent misuse of requests for information), or send an email with all such information to [email protected]",5
"6. SECURITY 6.1 You post personal data and any other content on our products at your own risk and in accordance with article 7 (""Your Responsibilities"") of the Terms of Use. Although we allow you to set privacy options that limit access to such personal data and other content, please be aware that no security measures are perfect or impenetrable. We cannot control the actions of other users with whom you choose to share your profile and information. Therefore, we cannot and do not guarantee that any content you post on our products will not be viewed by unauthorized persons. We are not responsible for circumvention of any privacy settings or security measures contained on our products. You understand and acknowledge that, even after removal, copies of personal data or content may remain viewable in cached and archived pages, or if other users have copied or stored your personal data or content.",0
"6.2 We have implemented appropriate measures to safeguard and help prevent unauthorized access, to maintain data security, and to correctly use the information we collect online. Your personal data visible on our products (such as any public comments posted by you and/or any data in your profile) are accessible to third parties, and you acknowledge and agree that such third parties are able to copy such information to their own products or other locations.",4
6.3 Your personal data will only be stored for a period necessary for your uses of our products for the purposes as described in this Privacy Policy.,2
7. MISCELLANEOUS 7.1 We reserve the right to amend our Privacy Policy. Amendments will be effective as of the moment of publication on our products. You should check our products regularly for amendments.,0
"7.2 The Internet is a global environment, and using the Internet necessarily involves the collection and processing of personal data on an international basis. Therefore, by using (one or more of) our products, you acknowledge and agree to our processing of personal data in this way.",0
7.3 Our products may contain links to other products. We are not responsible for the privacy practices of other products. We encourage users to be aware when they leave our site to read the privacy statements of each and every website that collects personally identifiable information. This Privacy Policy applies solely to information collected by us.,0
"7.4 In the event of a transfer of (one of our) products to a third party, we may transfer to such third party all personal information that we collected about you in accordance with this Privacy Policy. In such an event, users who have provided email addresses to us will be notified when information about those users is transferred and becomes subject to a different privacy policy.",4
"7.5 We also have Terms of Use that are applicable to your use of our products. In the case of a contradiction between the Terms of Use and this Privacy Policy, this Privacy Policy prevails.",0
7.6 This Privacy Policy shall be governed by the laws of the Netherlands and submitted to the exclusive jurisdiction of the courts in the Netherlands.,0
"If you have any additional questions or requests, you may send an email to [email protected]",0
"AI Factory Privacy & Cookie Policy AI Factory builds in analytics in our games to enable us to improve them, to give the user the best possible game experience. This samples anonymous non-personal data that simply allows us to find out what users do and do not like. AI Factory fully respects the user's privacy and never collects information that could be directly linked to the user. AI Factory also displays advertisements to fund the creation of these games. This is all governed by the following privacy & cookie policy: Unless explicitly given the opportunity to accept this policy inside an app, please note that by using or otherwise accessing any AI Factory mobile application, you are agreeing to this privacy & cookie policy. If you do not agree to this privacy & cookie policy, please do not use or otherwise access our applications.",1
"Anonymous Data AI Factory may collect and use anonymous data, via Google Analytics. We cannot identify you from this data. Such data is pooled to give us general statistics on our audience and usage of our apps.",0
"For example, Google Analytics automatically samples a user's country and city, chosen device language, device model and make, screen resolution, app version being used, operating system version, mobile phone network. This pooled data provides statistics that can help us determine, for example, where our apps are being most commonly used, and on which devices. This can help us determine how to update our apps going forward.",0
"Google Analytics also automatically collects data including app sessions numbers, session lengths, screen visits, flow from screen to screen, and app acquisition data (where a user came from to install an app). Alongside data that is automatically collected by Google Analytics, we also collect our own anonymous data on our app usage through Google Analytics. This includes game settings chosen, game results and other general UI events. Taken together, this data allows us to improve our apps in many ways. For example, if a high proportion of users cant beat level 1 in our game, we need to make it easier. Such data can also help us improve artwork in the game (by knowing what styles are most popular), or help us determine default option settings. We also collect data on which of our apps are installed, so that we have a better idea of which apps might be popular with users of another of our apps. We also track the effectiveness of our in-app cross promotions (promoting our own other apps).",1
"None of this collected data can be linked to any individual, and it is pooled to provide us with general usage and audience statistics. AI Factory reserves the right to use the collected anonymous data ourselves or disclose it to our partners.",4
"Ad networks who provide adverts to our mobile applications may access your unique device identifier and use this to tailor ads to you. Some apps may request a location permission. In this case, your location is also anonymous and is only used by Ad networks to help tailor ads relevant to your location. Privacy Policy links for the networks we use are below.",3
"Third Party Terms and Conditions Please note that certain third parties, including but not limited to application stores, may be needed in order for you to access our mobile applications. These third parties have their own privacy policies which AI Factory cannot control. You agree that AI Factory is not liable for their use of your personal information.",0
"Links to Third Party Sites or Games Our mobile applications are supported by advertisements, which provide access to third party sites or apps.",4
"Our mobile applications may provide access to third party social networking, communication and search features.",4
"Please be aware that, if you use any of these links you will leave our app and the page you go to will not be governed by our privacy & cookie policy. We cannot be responsible for the privacy of any information you provide whilst outside of our app.",0
"These third party sites or apps are not affiliated with or controlled by AI Factory. AI Factory are not responsible for their content or for the use of any information you may provide them. Our links to these sites or apps does not constitute our sponsorship of, or affiliation with, those sites or apps or the people or companies responsible for them.",0
"Updates to this Policy We may revise our privacy & cookie policy from time to time. When we do, those changes will be reflected here (as accessed via our app pages on the relevant application store). Any significant change we make to data usage will be drawn to your attention via our apps. We encourage you to review this privacy & cookie policy from time to time. Your continued use of our applications will signify your acceptance of the changes to this privacy & cookie policy.",0
Ad Networks & Analytics Policies Advertising in our apps is provided by a number of third party ad networks. Analytics is provided by Google Analytics. AI Factory choose to only provide ad networks with a minimal set of application permissions required for these ads to function. These analytics and ad networks may use data and cookies to help determine which ads to show you. Each of their own privacy policies are listed below.,2
"http://www.google.com/intl/en/policies/privacy/partners/ https://www.google.co.uk/intl/en-GB/policies/privacy/ http://www.millennialmedia.com/privacy-policy http://www.mopub.com/legal/privacy/ https://answers.chartboost.com/hc/en-us/articles/200780269-Privacy-Policy https://www.applovin.com/privacy http://www.inmobi.com/privacy-policy/ https://www.smaato.com/privacy/ Please be aware that, any information provided as a result of your interaction with these ads will not be governed by our privacy & cookie policy. Ads may redirect you away from our app, and our privacy & cookie policy will no longer apply outside of our app. We cannot be responsible for the privacy of any information you provide whilst outside of our app, or any information provided to any of these third parties.",0
Automatic Call Recorder - Privacy Policy This document clarifies how user data and any sensitive information is handled in the app.,0
Recording Call - Microphone We do not hold any recordings or user information on our own servers.,0
"The app ""Automatic Call Recorder"" records phone calls. All recorded calls are recorded on the phone using the microphone on the device. The recorded files and related notes are stored on the phone's storage and NO server is involved with recording phone calls. The recorded calls are not stored on our own server and can only be stored locally or on a third party cloud storage service such as Google Drive or Dropbox.",1
Storage The app requests permission to access the phone's storage only in order to store the recorded calls and play the recorded files afterwards. The app does not access any other files nor excess user's photos.,0
Contacts The app accesses the contacts on the phone in order to display the contacts that were recorded and so the app can record or ignore calls from specific contacts. The contacts information is NOT transmitted nor stored on any server.,1
Third-party collected data The app uses several third parties in order to improve our services. These parties collect their own data. Please read their privacy policies to ensure that you're comfortable with the manner in which they collect data.,0
Cloud A user that desires to backup recorded calls can do so by syncing these recorded calls to one of the supported cloud storage services: Google Drive or Dropbox. In that case the user will authorize the app to access the user's cloud storage and the app will sync saved recorded calls to that cloud storage service on the user's own storage folders on their own cloud account. To be clear the app does NOT store the recorded calls on any server other than those of Google Drive or Dropbox and no one but the user or any app that the user authorized have access to these files. The user account and authorization information is only stored locally and internal by the app and is not transmitted or stored anywhere else. Please check Dropbox policy if you want to sync your files to Dropbox : https://www.dropbox.com/privacy Please check Google policy if you want to sync your file to Google Drive : https://www.google.com/intl/en/policies/privacy/,0
Ads Google Admob: The free version of our android application includes some ads displayed with Google Admob https://www.google.com/intl/en/policies/privacy/,0
"MOBILE APPLICATION PRIVACY POLICY Effective Date: August 12th, 2016 Last Updated: August 12th, 2016 Welcome to BANDAI NAMCO Entertainment America Inc.! BANDAI NAMCO Entertainment America Inc. (""BANDAI NAMCO"") respects the privacy rights of BANDAI NAMCO's users and recognize the importance of protecting all information that you may choose to share with us. To further this commitment, BANDAI NAMCO adopted this Mobile Application Privacy Policy (""Privacy Policy""). By using BANDAI NAMCO's mobile applications to which this Privacy Policy has been attached (collectively, ""mobile application(s)""), you consent to our collection, storage, use, and disclosure of your personal information as described in this Privacy Policy. This privacy policy applies to the mobile applications listed here: PAC-MAN Pop! Fortress Legends Digimon Heroes! PAC-MAN Ms. PAC-MAN PAC-MAN Championship Edition PAC-MAN Championship Edition DX PAC-MAN Friends Brain Exercise More Brain Exercise Jewel Fight: Heroes of Legend Puzzle Quest 2 Ridge Racer Slipstream Outcast Odyssey If you have questions or concerns regarding BANDAI NAMCO's Privacy Policy or practices, please contact us at privacy@bandainnamcoent.com. If you have an unresolved privacy or data use concern that BANDAI NAMCO has not addressed satisfactorily, please contact our U.S. based third party dispute resolution provider (free of charge) at https://feedback-form.truste.com/watchdog/request.",5
TABLE OF CONTENTS Q1. Why does BANDAI NAMCO have this Privacy Policy? Q2. What information does this Privacy Policy cover? Q3: Does BANDAI NAMCO collect information from or about children?,0
